loss,accuracy,val_loss,val_accuracy
0.749578595161438,0.5519000291824341,0.6942508816719055,0.5001999735832214
0.6568629145622253,0.5906000137329102,0.6440960764884949,0.614799976348877
0.6082661747932434,0.6739500164985657,0.8017985820770264,0.5956000089645386
0.5577730536460876,0.7279499769210815,0.5407548546791077,0.756600022315979
0.5245081186294556,0.7494500279426575,0.48692721128463745,0.7839999794960022
0.49921348690986633,0.7683500051498413,0.5502719283103943,0.7250000238418579
0.47068217396736145,0.7875499725341797,0.4338054656982422,0.8312000036239624
0.4497919976711273,0.7997999787330627,0.41871708631515503,0.8285999894142151
0.4236849546432495,0.8170999884605408,0.5161707997322083,0.7635999917984009
0.4085477292537689,0.8243499994277954,0.4221140146255493,0.8191999793052673
0.3900095522403717,0.8345999717712402,0.4136161506175995,0.8267999887466431
0.3802807927131653,0.8416000008583069,0.3918510377407074,0.8682000041007996
0.36236992478370667,0.850849986076355,0.34521225094795227,0.864799976348877
0.34838780760765076,0.8600500226020813,0.3756701648235321,0.8772000074386597
0.33618268370628357,0.8647500276565552,0.3523913025856018,0.8655999898910522
0.32738110423088074,0.8709499835968018,0.4293901026248932,0.8180000185966492
